SKU,Description,SP,MRP,productname,Size,imgurl,Stock
348298-S109BLK,"<div class=""more"" id=""hp_fix_desc"">
							<p>Shock Absorber has a simple range segmentation to make choices for women as easy as possible, regardless of their size. All their sports bras are tested at the University of Portsmouth's world leading breast health department and provide a minimum of 50% bounce reduction, even in larger sizes.</p>

<p>Shock Absorber bras are either Active or Ultimate, this one in particular falls under Active. It is designed to offer all-round support for a variety of needs. They are simple, stylish designs that give confidence as well as support.</p>

<p>This has a classic design, with a rounded silhouette and wide, padded and adjustable straps for an optimal fit. There is a soft, wide underband for additional comfort and soft, non-rub hook and eye closure.</p>

<p>The fabric used is moisture-wicking, breathable and high performance.</p><p>Material</p><ul><li>Polyester </li><li>Elastane </li></ul>						</div>",£25.00," ,
							, ,
															",SHOCK ABSORBER Ladies Active D+ Classic Support Sports Bra,"30D,30DD,30E,30F,30FF,32D,32DD,32FF,32GG,34D,34DD,34E,34F,34FF,34G,36D,36E,36F,36FF,38D,38DD,38E,38FF,40D,40FF,40G","http://products.activinstinct.com/y2013/m03/348298/48106430-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
404150-D85731,"<div class=""more"" id=""hp_fix_desc"">
							<p>Designed to be a second skin for running, these men's Response Long Tights feature moisture-wicking climalite fabric and a fitted fit.</p>

<ul>
<li>70 cm inseam (size 50)</li>
<li>climalite fabric sweeps sweat away from your skin</li>
<li>Zip pocket on back right</li>
<li>Drawcord on elastic waist</li>
<li>Reflective details; Fitted fit</li>
<li>83% polyester / 17% elastane doubleknit</li></ul><br><p>Material</p><ul><li>Eleastane 17%</li><li>Polyester Fabric 83%</li></ul>						</div>",£25.00," ,
							, ,
															",adidas Men's Response Long Tights,"S,L","http://products.activinstinct.com/y2014/m01/404150/17766238-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
269873-X25189,"<div class=""more"" id=""hp_fix_desc"">
							<p>For ultimate comfort, these women's adidas Essentials 3-Stripes Cuffed Pants feature sweat-wicking CLIMALITE COTTON French terry, a drawcord waist and slim cuffs. These versatile workout pants have convenient side pockets and 3-Stripes on the legs.</p>

<ul>
<li>31 inch inseam (size Med)</li>
<li>CLIMALITE COTTON sweeps sweat away from your skin</li>
<li>Side pockets</li>
<li>Drawcord waist</li>
<li>Slim cuffs</li>
<li>60% cotton / 40% polyester French terry</li></ul><br><p>Material</p><ul><li>Cotton 60%</li><li>Polyester 40%</li></ul>						</div>",£25.00," ,
							, ,
															",adidas Ladies Essentials 3-Stripes Cuffed Pants,"XS,S,M,L","http://products.activinstinct.com/y2012/m01/269873/32160892-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
333593-519799,"<div class=""more"" id=""hp_fix_desc"">
							<p>A full-length zipped, unlined wind jacket with a water repellent coating and dual directional, central front zipper for easy on/off action and optional ventilation. There are underarm and back vents that provide added breathability and zipper pockets that provide secure storage.</p>

<p>There is elastic binding at the sleeve hem and an adjustable elasticated draw-cord at the bottom hem. The jacket also features a swoosh design trademark in reflective heat transfer material at the left of the chest.</p>

<ul>
<li>100% Nylon</li></ul><br><p>Material</p><ul><li>Nylon 100%</li></ul>						</div>",£25.00," ,
							, ,
															",NIKE Men's Windfly Jacket,"S,M,L,XL,Black,Black/Yellow,Navy/White,Red/White","http://products.activinstinct.com/y2013/m01/333593/43859769-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
341585-05251,"<div class=""more"" id=""hp_fix_desc"">
							<p>A lightweight and breathable running vest made with a premium quality wicking treatment.</p>

<p>This tee is constructed using Vapourlite fabric. This fabric achieves excellent moisture management because of a lightweight knitted construction that helps draw sweat away from the skin, once it reaches the outer surface it then is easily evaporated. Vapourlite fabric is breathable, lightweight and quick drying.</p>

<p>There are mesh panels for additional ventilation, reflective graphics for safety and flat-locked seams for added comfort.</p>

<ul>
<li>Material: 100% polyester</li></ul><br><p>Material</p><ul><li>Polyester 100%</li></ul>						</div>",£24.99," ,
							, ,
															",RONHILL Ladies Aspiration Long Sleeve Tee,,"http://products.activinstinct.com/y2013/m02/341585/45078297-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
324179-73CL040-89,"<div class=""more"" id=""hp_fix_desc"">
							<p>A brilliant base layer that features virtual body 3DCG analysis, this top has anatomical garment patterning and construction to ensure the highest performance. It uses Breath Thermo yarn to generate heat, while the anti-abrasion BlindStitch construction and DryLite moisture management ensure high levels of comfort.</p>

<p>Breath Thermo is a unique type of insulation fabric which generates heat from the absorption of moisture. Heat is generated via a chemical exchange between perspiration and the properties of the Breath Thermo fabric; especially useful for protecting the human body from cold temperatures.</p>

<p>DryLite technology transports moisture away from the body for a controlled microclimate.</p>

<ul>
<li>Fabric: 87% polyester, 13% polyacrylate</li></ul><br><p>Material</p><ul><li>Polyester 87%</li><li>Polyacrylate 13%</li></ul>						</div>",£24.99," ,
							, ,
															",MIZUNO BT Virtual Body H/Z Ladies Top,"XS,L,XL","http://products.activinstinct.com/y2012/m11/324179/23014499-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
425190-J2GB4008,"<div class=""more"" id=""hp_fix_desc"">
							<p>The Mizuno DryLite Square 5.5 Men's Running Shorts are perfect for running and workouts with DryLite moisture management technology to keep the body dry and comfortable.</p>

<p>DynaMotion Fit patterning for better anatomical fit that offers the freedom of movement you need to perform at you peak.</p>

<p>Mizuno FreshPlus technology offers an antibacterial function, providing odour resistance.</p>

<p>NightLite reflective logo and accents on front and back provide an added level of safety in low light.</p><p>Material</p><ul><li>Polyester Fabric </li></ul>						</div>",£24.99," ,
							, ,
															",MIZUNO DryLite Square 5.5 Men's Running Shorts,"S,M,L,XL","http://products.activinstinct.com/y2014/m04/425190/98072835-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
425181-J2GB4003,"<div class=""more"" id=""hp_fix_desc"">
							<p>The Mizuno DryLite Hazard Square 5.5 Men's Running Shorts are perfect for running and workouts with DryLite moisture management technology to keep the body dry and comfortable.</p>

<p>DynaMotion Fit patterning for better anatomical fit that offers the freedom of movement you need to perform at you peak.</p>

<p>Mizuno FreshPlus technology offers an antibacterial function, providing odour resistance.</p>

<p>NightLite reflective logo and accents on front and back provide an added level of safety in low light.</p><p>Material</p><ul><li>Polyester Fabric </li></ul>						</div>",£24.99," ,
							, ,
															",MIZUNO DryLite Hazard Square 5.5 Men's Running Shorts,"S,L,XL","http://products.activinstinct.com/y2014/m04/425181/83503865-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
425063-J2GB4205,"<div class=""more"" id=""hp_fix_desc"">
							<p>The Mizuno DryLite Sunset Square 4.0 Ladies Running Shorts are perfect for running and workouts with DryLite moisture management technology to keep the body dry and comfortable.</p>

<p>DynaMotion Fit patterning for better anatomical fit that offers the freedom of movement you need to perform at you peak.</p>

<p>Mizuno FreshPlus technology offers an antibacterial function, providing odour resistance.</p>

<p>NightLite reflective logo and accents on front and back provide an added level of safety in low light.</p><p>Material</p><ul><li>Polyester Fabric </li></ul>						</div>",£24.99," ,
							, ,
															",MIZUNO DryLite Sunset Square 4.0 Ladies Running Shorts,"XS,S,M,L","http://products.activinstinct.com/y2014/m04/425063/40702933-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
324146-73CF066-96,"<div class=""more"" id=""hp_fix_desc"">
							<p>A brilliant base layer that features virtual body 3DCG analysis, this top has anatomical garment patterning and construction to ensure the highest performance. It uses Breath Thermo yarn to generate heat, while the anti-abrasion BlindStitch construction and DryLite moisture management ensure high levels of comfort.</p>

<p>Breath Thermo is a unique type of insulation fabric which generates heat from the absorption of moisture. Heat is generated via a chemical exchange between perspiration and the properties of the Breath Thermo fabric; especially useful for protecting the human body from cold temperatures.</p>
<p>DryLite technology transports moisture away from the body for a controlled microclimate.</p>

<ul>
<li>Fabric: 87% polyester, 13% polyacrylate</li></ul><br><p>Material</p><ul><li>Polyester 87%</li><li>Polyacrylate 13%</li></ul>						</div>",£24.99," ,
							, ,
															",MIZUNO BT Virtual Body Men's Tight,,"http://products.activinstinct.com/y2012/m11/324146/94930489-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
324173-73CF096-09,"<div class=""more"" id=""hp_fix_desc"">
							<p>This uses high specification technology to ensure the highest performance. It uses Breath Thermo yarn to generate heat, while the anti-abrasion BlindStitch construction and DryLite moisture management ensure high levels of comfort.</p>

<p>Breath Thermo is a unique type of insulation fabric which generates heat from the absorption of moisture. Heat is generated via a chemical exchange between perspiration and the properties of the Breath Thermo fabric; especially useful for protecting the human body from cold temperatures.</p>

<p>DryLite technology transports moisture away from the body for a controlled microclimate.</p>

<ul>
<li>Fabric: 87% polyester, 13% polyacrylate</li></ul><br><p>Material</p><ul><li>Polyester 87%</li><li>Polyacrylate 13%</li></ul>						</div>",£24.99," ,
							, ,
															",MIZUNO Men's BT MW Long Tight,"S,XL","http://products.activinstinct.com/y2012/m11/324173/42851187-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
409236-51133304,"<div class=""more"" id=""hp_fix_desc"">
							<p>The Puma Men's PR Core 7 Inch Short is designed to help you keep your cool in those high intensity workouts. Highly functional Puma Cool Cell material draws sweat away from your skin whilst anatomically placed air-flow features offer you superior temperature regulation to keep you dry and cool during exercise.</p>

<ul>
<li>MP3 player pocket</li>
<li>Mesh inserts</li>
<li>Reflective elements for added safety</li></ul><br><p>Material</p><ul><li>Polyester Fabric </li></ul>						</div>",£24.99," ,
							, ,
															",PUMA Men's PR Core 7 Inch Short,"M,L,XL","http://products.activinstinct.com/y2014/m02/409236/20543524-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
319325-210423,"<div class=""more"" id=""hp_fix_desc"">
							<p>The Brooks Infiniti Tight II is designed for training in those challenging times when temperatures are low and days are short. This classic running tight is perfect for daily training units, whether you are a beginner or an experienced runner. The Nightlife Infiniti Tight boasts a perfect fit whilst providing high levels of breathability for total comfort. 3M Scotchlite reflectors provide excellent visibility along with brightly coloured elements to keep you safe in low light conditions.</p>

<p>Features:</p>

<ul>
<li>Flexible length</li>
<li>Extremely breathable</li>
<li>3M Scotchlite retroreflectivity provides good visibility</li></ul><br><p>Material</p><ul><li>Polyester </li><li>Spandex </li></ul>						</div>",£24.99," ,
							, ,
															",BROOKS Nightlife Infiniti Tight II,"S,M,L,XL,XXL","http://products.activinstinct.com/y2012/m10/319325/64595454-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
409204-51122002,"<div class=""more"" id=""hp_fix_desc"">
							<p>The Puma Ladies Colour Me Up Tank Top will bring performance and comfort to your workout with a design and construction geared towards helping you move freely and comfortably.</p>

<p>Features fabric designed to keep you dry during your workouts. Highly functional materials draw sweat away from your skin to offer you superior temperature regulation keeping you dry and cool during exercise.</p>

<ul>
<li>Flat lock seams for comfort</li>
<li>Lycra sport fabric for freedom of movement, support and durability</li>
<li>Inner Bra for added support</li>
</ul><br>
<p></p><p>Material</p><ul><li>Eleastane </li><li>Polyester Fabric </li></ul>						</div>",£24.99," ,
							, ,
															",PUMA Ladies Gym Colour Me Up Tank,"XS,S","http://products.activinstinct.com/y2014/m02/409204/29544122-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
341872-SESSEL,"<div class=""more"" id=""hp_fix_desc"">
							<p>For comfort during running, this is a must-have garment for all runners. Whether the ambitious runner shaving PBs, or the leisure runner on occasion, this provides everything necessary. It features cooling and venting features, an oval neckline and functional fabrics.</p>

<p>Features:</p>
<ul>
<li>Mesh inserts for ventilation under arms</li>
<li>Reflective logo on front</li>
<li>Reflective piping on back</li></ul><br><p>Material</p><ul><li>Polyester </li></ul>						</div>",£25.27," ,
							, ,
															",GORE Ladies Essential 2.0 Lady Shirt,"36in,38in,40in,Black,Blue,Light Blue,Red","http://products.activinstinct.com/y2013/m02/341872/84997324-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
413947-01176-R009,"<div class=""more"" id=""hp_fix_desc"">
							<p>Ronhill has a long tradition with off road running. The trail running heritage associated with the brand means that their products provide exceptional performance, utilizing some of the most innovative technology.</p>

<p>The moisture wicking fabric draws sweat away from the skin and out of the shorts, while high content of elastane ensures that these shorts remain durable and recover after each use to provide the right fit again and again. This is a durable and practical garment.</p>

<p>With four power-mesh stretch pockets, two elasticated loops and two front handpockets, there is plenty of space for small valuables, energy gels and anything else you might need to keep you going.</p>

<p>Features:</p>
<ul>
<li>Flexlite fabric</li>
<li>Lightweight and breathable with enhanced stretch</li>
<li>Durable water repellent treatment</li>
<li>Back zip security pocket - ideal for gels &amp; MP3 player</li>
<li>4 side Power-mesh stretch pockets</li>
<li>2 elasticated loops - ideal for gels</li>
<li>2 front hand pockets</li>
<li>11cm inside leg (size graded)</li>
<li>Inner Bamboo brief</li>
<li>Bonidex waistband with draw cord</li>
<li>Fibre content: Outer: 95% Polyester, 5% Elastane</li>
<li>Weight: 138g</li></ul><br><p>Material</p><ul><li>Eleastane </li><li>Polyester Fabric </li></ul>						</div>",£26.00," ,
							, ,
															",RONHILL Men's Trail Cargo Short,"L,XL","http://products.activinstinct.com/y2014/m02/413947/27079267-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
390548-S4490-01F,"<div class=""more"" id=""hp_fix_desc"">
							<p>Shock Absorber has a simple range segmentation to make choices for women as easy as possible, regardless of their size. All their sports bras are tested at the University of Portsmouth's world leading breast health department and provide a minimum of 50% bounce reduction, even in larger sizes.</p>

<p>Shock Absorber bras are either Active or Ultimate, this one in particular falls under Active. It is designed to offer all-round support for a variety of needs. They are simple, stylish designs that give confidence as well as support.</p>

<p>The fabric dries quickly and eliminates rubbing in key hotspot areas. The fabric draws sweat away from the body, leaving you more comfortable and allows air to circulate the skin. The abrasion resistant fabric is incredibly durable and minimises fabric pilling.</p>

<p>Features:</p>
<ul>
<li>Popular crop top design with internal cup-sized support</li>
<li>Shaped, padded and adjustable straps for extra support</li>
<li>Moisture wicking, high performance fabrics</li>
<li>Full back opening</li></ul><br><p>Material</p><ul><li>Eleastane </li><li>Polyester Fabric </li></ul>						</div>",£26.00," ,
							, ,
															",SHOCK ABSORBER Ladies Active Multi Sports Support Bra,"30D,30DD","http://products.activinstinct.com/y2013/m11/390548/50408947-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
425052-J2GB4271,"<div class=""more"" id=""hp_fix_desc"">
							<p>The Mizuno Biogear Three Quarter Ladies Running Tights are designed to provide total comfort when youre out on the road or in the gym with DryLite moisture management technology to keep the body dry and comfortable no matter how hard you push.</p>

<p>DynaMotion Fit patterning for better anatomical fit that offers the freedom of movement you need to perform at you peak.</p>

<p>NightLite reflective logo and accents on front and back provide an added level of safety in low light.</p>

<p>Features BlindStitch for anti-abrasion and enhanced comfort.</p><p>Material</p><ul><li>Polyester Fabric </li></ul>						</div>",£25.99," ,
							, ,
															",Mizuno Biogear BG1000 3/4 Ladies Running Tights,"XS,S,M,L,XL,Black/Purple,Black/Grey","http://products.activinstinct.com/y2014/m04/425052/37593861-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
400780-1243075,"<div class=""more"" id=""hp_fix_desc"">
							<p>Under Armour All Season Gear uses fabrics that flex with changing conditions to deliver core temperature regulation and maximum breathability.</p>

<p>Signature UA super-soft, brushed perfect fabric delivers superior moisture transport system to keep you cool, dry and comfortable.</p>

<p>Built-in bra with soft, removable cups, adjustable heathered elastic straps and crosback cut-out back detail. Banded and generous fit around the waist is perfect for inversions.</p><p>Material</p><ul><li>Eleastane 12%</li><li>Polyester Fabric 88%</li></ul>						</div>",£26.00," ,
							, ,
															",UNDER ARMOUR Ladies UA Essential Banded Tank,"XS,S,M,L,XL,Black,Pink","http://products.activinstinct.com/y2013/m12/400780/75222246-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
276432-X34274 / X34275 / X34276,"<div class=""more"" id=""hp_fix_desc"">
							<p>Part of adidas T12 wear for the Olympic year, this range has a four year cycle until the next games, and so has a lifecycle lasting until 2016.</p>

<p>This pant has been made with soft CLIMALITE COTTON and so is soft to the touch and offers brilliant moisture management. The pants also feature an open hem with drawcords, pockets on both sides, and the adidas three stripe design down each leg.</p>

<ul>
<li>60% Cotton/40% Polyester, french terry, 300g</li></ul><br><p>Material</p><ul><li>Cotton 60%</li><li>Polyester 40%</li></ul>						</div>",£25.49," ,
							, ,
															",adidas Junior T12 Sweat Pant,"XXS,XS,S,M,Black,Navy,Red","http://products.activinstinct.com/y2012/m03/276432/20126623-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
341471-01185,"<div class=""more"" id=""hp_fix_desc"">
							<p>Breathable and lightweight shorts that offer fantastic performance to all levels of runner.</p>

<p>The short is constructed with Activelite fabric; this combines breathability with fantastic wind resistance. A tightly woven construction prevents wind from penetrating the fabric but still allows a comfortable airflow throughout. It has a lightweight, relaxed fit.</p>

<p>The shorts have been given a water repellent treatment and feature an inner Bamboo brief for added support and comfort. There are also four side mesh stretch pockets and a back, zipped security pocket.</p>

<p>The shorts also feature reflective tape, power mesh inserts at the back and a Bonidex waistband with draw cord.</p>

<ul>
<li>Outer Material: 95% polyester, 5% elastane</li>
<li>Inner Material: 50% polyester, 50% Bamboo Charcoal</li></ul><br><p>Material</p><ul><li>Polyester 95%</li><li>Elastane 5%</li></ul>						</div>",£26.00," ,
							, ,
															",RONHILL Men's Advance Cargo Racer Short,"L,XL,Black,Black/Blue","http://products.activinstinct.com/y2013/m02/341471/23149984-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
414149-RH-000388,"<div class=""more"" id=""hp_fix_desc"">
							<p>Ronhill has a long tradition with off road running. The trail running heritage associated with the brand means that their products provide exceptional performance, utilizing some of the most innovative technology.</p>

<p>The moisture wicking fabric draws sweat away from the skin and out of the shorts, while high content of elastane ensures that these shorts remain durable and recover after each use to provide the right fit again and again. This is a durable and practical garment.</p>

<p>With four power-mesh stretch pockets, two elasticated loops and two front handpockets, there is plenty of space for small valuables, energy gels and anything else you might need to keep you going.</p>

<p>Features:</p>
<ul>
<li>Flexlite fabric</li>
<li>Lightweight and breathable with enhanced stretch</li>
<li>Durable water repellent treatment</li>
<li>Back zip security pocket - ideal for gels &amp; MP3 player</li>
<li>4 side Power-mesh stretch pockets</li>
<li>2 elasticated loops - ideal for gels</li>
<li>2 front hand pockets</li>
<li>11cm inside leg (size graded)</li>
<li>Inner Bamboo brief</li>
<li>Bonidex waistband with draw cord</li>
<li>Fibre content: Outer: 95% Polyester, 5% Elastane</li>
<li>Weight: 138g</li></ul><br><p>Material</p><ul><li>Eleastane </li><li>Polyester Fabric </li></ul>						</div>",£26.00," ,
							, ,
															",RONHILL Ladies Trail Cargo Short,"08,10,12,14,16,Black/Purple,Black/Pink","http://products.activinstinct.com/y2014/m02/414149/42587423-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
406721-D85689,"<div class=""more"" id=""hp_fix_desc"">
							<p>A good base layer can make all the difference, and these men's tights have a FORMOTION design and climacool ventilation for a comfortable run. Featuring a convenient zip pocket on the back right hip and reflective details for visibility.</p>

<p>Features:</p>
<ul>
<li>5in inseam (size Med)</li>
<li>Ventilated climacool keeps you cool and dry</li>
<li>FORMOTION follows the natural movement of sport for a better fit and greater comfort in motion</li>
<li>Waterproof, sweat-proof pockets; Drawcord on elastic waist; Contrast side panels</li>
<li>400 candlepower reflective details; Fitted fit; miCoach compatible</li>
<li>75% nylon / 25% elastane tricot</li></ul><br><p>Material</p><ul><li>Nylon </li><li>Eleastane </li></ul>						</div>",£26.00," ,
							, ,
															",adidas Men's Supernova Short Tights,"S,XL","http://products.activinstinct.com/y2014/m01/406721/47991166-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
422375-F82564,"<div class=""more"" id=""hp_fix_desc"">
							<p>The Men's Supernova Short Tight provides heat and moisture management through ventilation sweatzones thanks to high performance technology. It also has fantastic range of motion.</p>

<p>Features:</p>
<ul>
<li>CLIMACOOL fabric</li>
<li>FORMOTION Engineered to perform for linear running motions.</li>
<li>REFLECTIVE STRIPES for your safety</li>
<li>Reflective logo</li>
<li>Fitted</li></ul><br><p>Material</p><ul><li>Eleastane </li><li>Polyester Fabric </li></ul>						</div>",£26.00," ,
							, ,
															",adidas Supernova Men's Short Running Tights,"S,XL","http://products.activinstinct.com/y2014/m04/422375/28641291-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
411373-FEMAGN,"<div class=""more"" id=""hp_fix_desc"">
							<p>The Gore Magnitude Compression Socks are designed for the endurance runner. These compressive running knee socks help to reduce muscle vibrations and reduce heavy legs during endurance runs.</p>

<p>Features:</p>
<ul>
<li>Left and right anatomical structure with COOLMAX padding</li>
<li>Longitudinal protective padding for tibial tendons</li>
<li>Super-flat zero-friction seam double-looped inside and outside</li>
<li>Elastic insert at instep minimizes pressure from shoelaces</li>
<li>Anti-stress cuff in LYCRA</li>
<li>Achille's tendon back protection</li>
</ul><br>
<p>Material: 20% POLYESTER (COOLMAX), 40% POLYAMIDE, 40% ELASTANE</p><p>Material</p><ul><li>Polyamide Nylon 40%</li><li>Eleastane 40%</li><li>Polyester Fabric 20%</li></ul>						</div>",£26.99," ,
							, ,
															",GORE Magnitude Compression Socks,"Black,White,UK4 - 6,UK7 - 9,UK10 - 12","http://products.activinstinct.com/y2014/m02/411373/32867849-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
382516-81160-VPC,"<div class=""more"" id=""hp_fix_desc"">
							<p>The Sonic Vizi Jacket is wind and water resistant, as well as featuring ViziPro colour and USB rechargeable built-in lighting on the left front and across the back for enhanced visibility in low-light conditions.</p>

<p>Features:</p>
<ul>
<li>USB LED built-in piping</li>
<li>Two-way front zipper with Velcro draft flap</li>
<li>DWR-coated fabric</li>
<li>Zippered front hand pockets</li>
<li>3M reflective fabric inserts on front, back and sleeves</li></ul><br><p>Material</p><ul><li>Polyester Fabric 100%</li></ul>						</div>",£72.89," ,
							, ,
															",SAUCONY Sonic Vizi Ladies Jacket,"S,M","http://products.activinstinct.com/y2013/m09/382516/77951395-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
414278-RH-000093,"<div class=""more"" id=""hp_fix_desc"">
							<p>The Ronhill Aspiration Windlite Jacket is designed to provide comfort and warmth for training on days with poor conditions. Breathability and protection in just the right ratio will have you training to your maximum potential.</p>

<p>Activelite fabric is both breathable and wind resistant. The excellent wind resistance is achieved through a tightly woven construction which prevents wind from penetrating the fabric whilst maintaining a high standard of breathability. Added to that this fabric is lightweight and boasts water resistant finish ensuring you can perform unhindered on any run.</p>

<p>Single hand operated draw cords, lock down front zip with chin guard, ergonomic shaped cuff and chest pocket provide a level of functionality that will leave you free to enjoy your training.</p>

<p>Reflective tape and L.E.D compatibility will make you highly visible in low light and ensure your safety on the road.</p>

<p>100% Polyester</p><p>Material</p><ul><li>Polyester Fabric 100%</li></ul>						</div>",£45.00," ,
							, ,
															",RONHILL Ladies Aspiration Windlite Jacket,"08,10,12,14,16,18,Blue,Purple","http://products.activinstinct.com/y2014/m03/414278/22006928-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
426318-4074,"<div class=""more"" id=""hp_fix_desc"">
							<p>Stretch thermal cycling tights. These are made from micro denier Thermastretch fabric for warmth and fast moisture transfer.</p>

<p>Padded for comfort with a moulded Coolmax Silver pad, there is also reflective detailing and self-fabric foot stirrups for comfort.</p><p>Material</p><ul><li>Synthetic </li></ul>						</div>",£47.49," ,
							, ,
															",POLARIS Cadence Ladies Tight,"08,10,12,14,16","http://products.activinstinct.com/y2014/m04/426318/45593367-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
401138-588657,"<div class=""more"" id=""hp_fix_desc"">
							<p>The Nike Vapor Cyclone Packable Running Jacket is made with sheer water-repellent fabric to help keep you dry and protected from wind and rain. An adjustable hood and easy storage into a back zip pocket offers customizable protection and convenience in changing conditions.</p>

<p>Benefits:</p>
<ul>
<li>Multi-panel scuba hood that zips up to the chin with bungee and toggle for protection from the elements</li>
<li>Water-repellent fabric to help keep you dry</li>
<li>Nike Vapor technology and strategic eyelets for enhanced breathability</li>
<li>Bonded seams and back neck tape for durability and comfort</li>
<li>Packable into back zip pocket for easy transportation</li>
<li>Allover screen print for style</li>
</ul><br>
<p>Product Details:</p>
<ul>
<li>Fabric: 100% nylon</li>
<li>Machine wash</li></ul><br><p>Material</p><ul><li>Polyester Fabric </li></ul>						</div>",£45.00," ,
							, ,
															",NIKE Ladies Vapor Cyclone Jacket,"XS,S,M,L,Green,Red,Violet,White","http://products.activinstinct.com/y2014/m01/401138/19526048-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
386075-210429-406,"<div class=""more"" id=""hp_fix_desc"">
							<p>The lightest jacket that Brooks produce, this has a hood that cinches front to back and around for closer, more comfortable coverage. A swooping colour line and ruching on the back gives this outer piece a fast look and performance.</p>

<p>Features:</p>
<ul>
<li>Wind a water resistant with Durable Water Repellent (DWR) coating</li>
<li>Packable into own pocket</li>
<li>Easy-cinch hood</li>
<li>Ruching in back</li>
<li>Inner storm guard with zipper garage</li>
<li>Weighs just 4.3 ounces</li>
<li>Reflective detailing</li></ul><br><p>Material</p><ul><li>Polyester Fabric 100%</li></ul>						</div>",£49.00," ,
							, ,
															",BROOKS Men's LSD Lite III Jacket,"S,L,XL,XXL","http://products.activinstinct.com/y2013/m09/386075/69619094-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
402792-589975,"<div class=""more"" id=""hp_fix_desc"">
							<p>The Nike Vapor Men's Running Jacket features a zip-off scuba hood and tough, lightweight fabric that protects against wind and rain for custom coverage and comfort in challenging conditions.</p>

<p>Benefits</p>
<ul>
<li>Adjustable, removable scuba hood for warmth and comfort</li>
<li>Reflective elements stand out in low-light conditions</li>
<li>Perforated panels under arms and at sides for strategic breathability</li>
<li>Adjustable hem and stretch cuffs for enhanced comfort</li>
<li>Side zip pockets with interior pockets for secure, specialized storage</li>
<li>Mesh lining at cuffs for enhanced comfort</li>
</ul><br>
<p>Product Details</p>
<ul>
<li>Color-blocked detail</li>
<li>Fabric: 100% polyester.</li>
<li>Machine wash</li></ul><br><p>Material</p><ul><li>Polyester Fabric 100%</li></ul>						</div>",£49.00," ,
							, ,
															",NIKE Vapor Men's Running Jacket,"S,M,L,XL,XXL,Blue,Blue/White,Grey/Orange","http://products.activinstinct.com/y2014/m01/402792/43763856-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
