category,description,MRP,SP,imgurl1,imgurl,productname
Balance Trainer ,"
	1) Builds core strength by targeting specific muscle groups while exercising – standing, sitting, squatting, kneeling and lying down,
	2) Soft disc is moisture resistant, portable and easy to clean,
	3) Air pressure may be adjusted using ball pump with needle adaptor",1899,179,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_90d7394ddb5bcf3ce561b585f4f78ac5.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_969c886376401c250e26757fe9c0680c.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_1a36105bbb40d4e5cba12e460aca033f.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_90d7394ddb5bcf3ce561b585f4f78ac5.jpg,"
	Balance Trainer"
Wraps & Straps ,"
	1) Heavyweight elastic provides strong support and knee stability,
	2) Full 72” length offers multiple wraps and knee positioning",1199,179,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_3f3f471448b3d2581a54fba0a71e16cd.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_0cb9471fd265f1a0df1bd6d956983150.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_e1f108529d69c485f98fbba38a34e72b.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_3f3f471448b3d2581a54fba0a71e16cd.jpg,"
	Power-Knee Wrap"
Fitness Belts ,"
	Designed to fit the natural shape of back,
	EVA support struts stabilize lower back and abdominal muscles,
	Contoured design promotes proper posture and lifting technique,
	Heavy gauge steel tensioning buckle customizes fit",1899,179,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_2bdc978a749027a4186ed241660eee47.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_dd7d77349f842575665683416fb981c1.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_1757eff3a1942e004409e6b603d29bd6.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_2bdc978a749027a4186ed241660eee47.jpg,"
	7.5 Firm Fit Contour"
Resistance Cables ,"
	1) For total body toning and gains in strength, endurance and performance,
	2) PowerAmp™ xXx tubing lasts 3x’s longer than standard resistance cable — more than 30,000 stretch cycles,
	3) Molded foam handles enhance grip comfort,
	4) Lightweight and portable",899,,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_2cc7e5d41d3ede688222c8931d4bb53d.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_1e8f1e772c6857f1326a32245da469c1.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_2cc7e5d41d3ede688222c8931d4bb53d.jpg,"
	Cable 8 Super Heavy"
Mats ,"
	Full 2” tri-density padding for extra comfort and support,
	Zippered moisture-resistant cover wipes down,
	Integrated nylon handles for easy transport and storage",4599,4139,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_2fec6368a35b31890eebb0bb244e7b3a.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_240c62af37b1d6175de3f92f48a431e2.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_ae400963b3756dd8aaadd169dedd7f8b.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_2fec6368a35b31890eebb0bb244e7b3a.jpg,"
	Tri-Fold Mat"
Mats ,"
	Antimicrobial treatment controls odor and staining caused by bacteria,
	5/8” closed cell Durafoam™ mat for stretching and floor exercise,
	No-Slip surface helps prevent injury,
	Non-skid ribbing grips floor and minimizes sliding,
	Integrated strap for convenient roll-up, transport and storage,
	Easy-to-clean moisture resistant skin",3399,,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_8ddcff0a6cd1727ca1459261f6ea53b2.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_a2b6bcc174ff09004d20900e4992400d.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_8ddcff0a6cd1727ca1459261f6ea53b2.jpg,"
	Antimicrobial Durafoam Mat 5/8"
Mats ,"
	100% recyclable foam in dual layer design with No-Slip textured surface,
	3/8” low-profile mat for greater “feel” on floor,
	Non-skid bottom ridges grip floor and minimize sliding,
	Removable strap for convenient transport and storage,
	Easy-to-clean moisture resistant skin",3299,,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_078de7143c314a10f7d2a61c9737ba62.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_9a1128ffa58b74ecd22094e5d052a6b6.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_7942be743dcf185b104bdf30302e7bf8.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_1b89487ec802406f599335d157cd9135.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_91beb56cfa914e370195e282fbad3bfc.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_078de7143c314a10f7d2a61c9737ba62.jpg,"
	Eco-Fit Training Mat"
Training Balls ,"
	1) Enhances Strength and endurance by helping you isolate specific muscle groups during training,
	2) Increases balance and coordination as you incorporate it into your weight-training, aerobic and resistance workouts.,
	3) Has gripping ridges that provide excellent traction",2099,,,http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_1d2c8221c1162fb8d4d06be006698c58.jpg,"
	Training Ball 75 cm"
Training Balls ,"
	1) Enhances Strength and endurance by helping you isolate specific muscle groups during training,
	2) Increases balance and coordination as you incorporate it into your weight-training, aerobic and resistance workouts.,
	3) Has gripping ridges that provide excellent traction",1799,,,http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_b4e88d23fff802ed9e425b580e81686d.jpg,"
	Training Ball 65 cm"
Bar Pads  ,"
	Premium 15mm Neotek™ foam core cushions neck and shoulders Sueded Comfort Tech™ cover is smooth and easy to clean Fits Olympic bar",1199,179,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_a2a873b74298b4cd2535a485a35d6b8b.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_e9c2899a9c05a1b020957cce2719769d.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_a2a873b74298b4cd2535a485a35d6b8b.jpg,"
	Olympic Bar Pad"
Training Balls ,"
	1) Enhances Strength and endurance by helping you isolate specific muscle groups during training,
	2) Increases balance and coordination as you incorporate it into your weight-training, aerobic and resistance workouts.,
	3) Has gripping ridges that provide excellent traction",1399,,,http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_5ed8671d85501392ddc89d030193ae9e.jpg,"
	Training Ball 55 cm"
Training Aids ,"
	For neck and back strengthening Heavy duty Cordura nylon construction 30” steel chain with plate attachment mechanism Synthetic shearling pad lining enhances comfort Fully adjustable sizing",1499,1349,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_3631cb51287cb60e8cc954520a6684bf.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_1ddced2acc39c9497e89ce883647b9eb.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_3631cb51287cb60e8cc954520a6684bf.jpg,"
	Nylon Head Harness"
Training Aids ,"
	Designed to alleviate stress on wrist joints Increases range of motion during push-ups Cushioned comfort grips reduce hand fatigue Delta shape base stabilizes platform with even weight distribution Non-skid rubber traction pads Easy cleaning, transport and storage",1199,179,,http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_b5e4bacfcc153d13e465193789206ed9.jpg,"
	Push Up Bars"
Training Aids ,"
	Use with weight stack to strengthen and tone leg muscles Heavy duty steel D ring clips on to universal gym cables Plush neoprene padding protects and cushions ankle Adjustable closure",649,584,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_d2fe120754caa10fcb72eb1a25922a4a.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_43c1808f456199cb5b301707048f62c0.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_d2fe120754caa10fcb72eb1a25922a4a.jpg,"
	Neoprene Padded Ankle Cuff 2"
Training Aids ,"
	Designed to enhance grip and reduce finger fatigue Neoprene wrist pad cushions and keeps wrist in proper position to help prevent hyperextension Ballistic grade nylon increases durability Fully adjustable closure",1499,1349,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_85a31d8d1d614fa7f1b04d8c3f8cfe64.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_331753a1cbf464915916acdb7368bf50.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_85a31d8d1d614fa7f1b04d8c3f8cfe64.jpg,"
	Lifting Hook"
Training Aids ,"
	For training triceps, biceps and shoulders Full 26” length of 1 ¼” heavy duty nylon rope Custom engineered ball grips for stronger grip Heavy duty steel receiver attaches to universal gym cables",1799,1619,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_c099ff9e6b42a7ae65fa37a95bbb23a5.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_e9110632914454509f2cf9343508871b.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_c099ff9e6b42a7ae65fa37a95bbb23a5.jpg,"
	Tri Cep Rope 26"
Training Aids ,"
	For training triceps, biceps and shoulders Extended 36” length for full range of motion Internal bearing mechanism for smooth rope rotation Ergonomically-designed rubber ends offer maximum pull leverage Heavy duty steel receiver attaches to universal gym cables",2799,2519,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_b9287069a43fc5886aba3ef50163057b.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_b263aab7d1548cbb133c8fac7bebcf57.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_b9287069a43fc5886aba3ef50163057b.jpg,"
	Tri Cep Rope 36"
Training Aids ,,2199,1979,,http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_449b2b6f120c5a35854d883b79daaf79.jpg,"
	Ab Strap Basic"
Training Aids ,"
	For strengthening and toning abdominal muscles 1 ½” high-density padding supports and cushions arms during use Heavy duty Cordura nylon with steel grommets Brushed nylon lining for enhanced comfort Forged steel carabineers lock on to any universal gym",3799,3419,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_d2831ebc67765adf7d53925b9e7ea455.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_72017c00cc3389f8a3e1e3b5df7164c6.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_c9f58b04e03d5714e8a03cf34f98bfc2.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_d2831ebc67765adf7d53925b9e7ea455.jpg,"
	Ab Straps Deluxe"
Mats ,"
	5/8” closed cell Durafoam™ mat for stretching and floor exercise,
	No-Slip surface helps prevent injury,
	Non-skid ribbing grips floor and minimizes sliding,
	Integrated strap for convenient roll-up, transport and storage,
	Easy-to-clean moisture resistant skin",2599,,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_abe6a38db38eca327d7efa305ba27b86.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_9fdb6f3112695f1745ea364ed88c3ecd.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_ccccc5bb41067969f15b325844a0c843.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_abe6a38db38eca327d7efa305ba27b86.jpg,"
	Durafoam Mat 5/8"
Mats ,"
	Antimicrobial treatment controls odor and staining caused by bacteria,
	3/8” closed cell Durafoam™ mat cushions while exercising,
	Non-slip surface and non-skid bottom helps prevent injury,
	Integrated strap for convenient roll-up, transport and storage,
	Easy-to-clean moisture resistant surface",2399,,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_b5a07a6b2bbacd68d76c9f4daca18f8e.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_dcf8962156bd1b42c591a9270587edce.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_b5a07a6b2bbacd68d76c9f4daca18f8e.jpg,"
	Antimicrobial Durafoam Mat 3/8"
Fitness Belts ,,1399,1259,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_57bbf5773b1bacb43512c5bd66e2eb9c.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_92b025f4abc76c0a9c0aca5da6d8a138.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_108ff72ef39ecc3064aa97510b0bde59.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_ce882a519750ce2207d0e331e3b4f060.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_2ebca59ad2c7a79027db4ac9d664378a.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_57bbf5773b1bacb43512c5bd66e2eb9c.jpg,"
	4 Padded Leather (NEW)"
Resistance Cables ,"
	1) For total body toning and gains in strength, endurance and performance 2) PowerAmp™ xXx tubing lasts 3x’s longer than standard resistance cable — more than 30,000 stretch cycles 3) Molded foam handles enhance grip comfort 4) Lightweight and portable",899,,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_e253681ad9e68331cc03fc2b6756808b.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_2033f3e37cfffc91079c98ea1c55f944.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_e253681ad9e68331cc03fc2b6756808b.jpg,"
	Cable 8 Medium"
Fitness Belts ,"
	Extra wide 5” belt with 3” support strap stabilizes lower back and abdomen during heavy lifting,
	Breathable plush tricot lining,
	Flexible ultra-light foam core under abrasion-resistant nylon skin maintains muscle warmth,
	Heavy gauge steel tensioning buckle customizes fit",1499,1349,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_03a37c9c9609b02fbf6375c50749fb21.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_83f7a468dc6f78ea9573a889fed9b4eb.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_cb825bd6cd93a7d3efcbe8cb0e1905c0.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_03a37c9c9609b02fbf6375c50749fb21.jpg,"
	Classic 5 Firm "
Fitness Belts ,"
	Full 4” wide belt with 3” support strap helps protect lower back and abdomen,
	Flexible nylon web core moves with body,
	Heavy gauge steel tensioning buckle customizes fit",1149,134,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_072a10c1e376e000012e11d61dcc73a2.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_fc2779504ebaddc2fa642197b8f093b4.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_03965e1669702e21fc0392a61804c483.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_072a10c1e376e000012e11d61dcc73a2.jpg,"
	Pro 4 Firm"
Resistance Cables ,"
	1) For total body toning and gains in strength, endurance and performance,
	2) PowerAmp™ xXx tubing lasts 3x’s longer than standard resistance cable — more than 30,000 stretch cycles,
	3) Molded foam handles enhance grip comfort,
	4) Lightweight and portable",999,899,,http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_75e1abd250ad6930f79412b305594dac.jpg,"
	Cable 8 Heavy"
Resistance Cables ,"
	1) For total body toning and gains in strength, endurance and performance,
	2) PowerAmp™ xXx tubing lasts 3x’s longer than standard resistance cable — more than 30,000 stretch cycles,
	3) Molded foam handles enhance grip comfort,
	4) Lightweight and portable",899,,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_a7c1f4d5ccf7a92ae53212b398eb45da.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_8df6cc85ce09c089fdd673285637c0fd.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_a7c1f4d5ccf7a92ae53212b398eb45da.jpg,"
	Cable 8 Light"
Resistance Cables ,"
	1) For total body toning and gains in strength, endurance and performance,
	2) PowerAmp™ xXx tubing lasts 3x’s longer than standard cables,
	3) Molded foam handles enhance grip comfort,
	4) Heavy duty door jamb attachment provides more exercise options,
	5) Lightweight and portable",1499,,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_65bff739196b8ae467593412f02811d2.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_2ebb42dbae58db5e314ef4ce61020ac3.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_65bff739196b8ae467593412f02811d2.jpg,"
	FlexFast Cable 40lb"
Bar Pads  ,"
	Premium 15mm Neotek™ foam core cushions neck and shoulders Sueded Comfort Tech™ cover is smooth and easy to clean Fits standard bar",999,899,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_deb94621ab481e44c72cf7e8359a6790.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_d3b05198c6eca971e1a53c32c7f04e51.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_deb94621ab481e44c72cf7e8359a6790.jpg,"
	Classic Bar Pad"
Resistance Cables ,"
	1) For total body toning and gains in strength, endurance and performance,
	2) PowerAmp™ xXx tubing lasts 3x’s longer than standard cables,
	3) Molded foam handles enhance grip comfort,
	4) Heavy duty door jamb attachment provides more exercise options,
	5) Lightweight and portable",1349,1214,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_19bfc2d0016ac6d830561849dd15ba4b.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_27737eeab259f3a0ea4e7c9f249bf2d0.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_19bfc2d0016ac6d830561849dd15ba4b.jpg,"
	FlexFast Cable 30lb"
Resistance Cables ,"
	1) For total body toning and gains in strength, endurance and performance,
	2) PowerAmp™ xXx tubing lasts 3x’s longer than standard cables,
	3) Molded foam handles enhance grip comfort,
	4) Heavy duty door jamb attachment provides more exercise options,
	5) Lightweight and portable",1299,,,http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_48c50e7a16c06819c76241989752480c.jpg,"
	FlexFast Cable 20lb"
Resistance Cables ,"
	1) For total body toning and gains in strength, endurance and performance,
	2) PowerAmp™ xXx tubing lasts 3x’s longer than standard cables,
	3) Molded foam handles enhance grip comfort,
	4) Heavy duty door jamb attachment provides more exercise options,
	5) Lightweight and portable",1199,,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_028e1b852421578c72a9facc4791a9bb.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_e6c5d0cafc2232a39c723d4e00b1a3f0.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_028e1b852421578c72a9facc4791a9bb.jpg,"
	FlexFast Cable 10lb"
Wraps & Straps ,,1399,1259,,http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_1c981ea8143e991ca9b1863f0f4d4b69.jpg,"
	Pro-Knee Wrap"
Wraps & Straps ,"
	Distinctive red line competition grade elastic maximizes knee stability and support Extended 78” length provides full spectrum tension in wrapping and knee positioning",1899,179,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_10679049d6cf7a44446ddfee6637fc18.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_eb51aad6cd7b4f4189ecfdfe6292ceb8.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_ea15dc0a9045869b2f02ad426e10350a.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_10679049d6cf7a44446ddfee6637fc18.jpg,"
	Classic Knee Wrap"
Wraps & Straps ,,525,472,,http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_ee9e4f2fae3136745b6ff44c4c0209ed.jpg,"
	Power Slip On 12.5 "
Wraps & Straps ,"
	Extended 20” length provides strong support and wrist stability Thumb loop secures wrap on hand Fully adjustable closure",699,629,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_dab2cc8018ea7f6370cdbbcf3d7a84db.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_eeeeb885e426d1ffb502eed3c994f65a.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_dab2cc8018ea7f6370cdbbcf3d7a84db.jpg,"
	Pro Wrist Wrap-Thump Loop"
Wraps & Straps ,"
	Extended length strap for stronger wrap on bar Extra 1 ½” width increases contact on grip surface Merrowed end tabs prevent fraying Heavy duty stitching for enhanced durability",449,44,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_922fb09cb26af23aa97adbecbe9cf8f6.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_4a52a42268b9e6713e44ab909bed7ed7.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_922fb09cb26af23aa97adbecbe9cf8f6.jpg,"
	Power Lifting Strap"
